For Voted Perceptron:
Distinct Weight Vectors 											 Counts
[0. 0. 0. 0. 0.]			0
[-0.01     -0.038481 -0.101539  0.038561  0.042228]			2
[-0.02       -0.03800092 -0.085502   -0.046195    0.0346722 ]			1
[-0.01       -0.05066792 -0.057319   -0.070455    0.0158102 ]			8
[ 0.         -0.07119692 -0.018934   -0.0784094   0.0036722 ]			3
[ 0.01       -0.10388892 -0.14634     0.0771636   0.002254  ]			7
[ 0.02       -0.14309292 -0.105617    0.0747958  -0.018897  ]			5
[ 0.01       -0.17775992 -0.064893    0.0319138  -0.034315  ]			9
[ 0.         -0.17658162 -0.049104   -0.0483862  -0.03403469]			10
[ 0.01       -0.16208062 -0.013037   -0.0889432  -0.05000069]			2
[ 0.02       -0.20884562 -0.069673    0.0207468  -0.05334559]			1
[ 0.01       -0.18236662 -0.171047    0.0340568   0.00136141]			3
[ 0.02       -0.18120742 -0.138828   -0.0002452  -0.02709559]			1
[ 0.03       -0.20708742 -0.100174   -0.0035812  -0.03989259]			8
[ 0.04       -0.20587482 -0.0979393  -0.0083139  -0.03019019]			2
[ 0.05       -0.21078292 -0.0694873  -0.0447499  -0.06119419]			10
[ 0.06       -0.18883992 -0.0239843  -0.0945099  -0.08844819]			2
[ 0.07       -0.22905792 -0.1070243   0.0310401  -0.10354719]			3
[ 0.08       -0.22795472 -0.0872833  -0.0026279  -0.11007309]			14
[ 0.09       -0.22494662 -0.0855452  -0.0201699  -0.10518099]			6
[ 0.1        -0.21894162 -0.0662182  -0.0530579  -0.10842249]			11
[ 0.11       -0.20838962 -0.0543612  -0.0794689  -0.10731919]			17
[ 0.1        -0.20890941 -0.1248822  -0.0589279  -0.07581119]			27
[ 0.09       -0.22034141 -0.0874692  -0.1147049  -0.06945339]			30
[ 0.08       -0.19386241 -0.1888432  -0.1013949  -0.01474639]			3
[ 0.09       -0.18419161 -0.1504172  -0.1507089  -0.05606939]			12
[ 0.08       -0.18748401 -0.1058652  -0.1964269  -0.04618139]			6
[ 0.09       -0.20458801 -0.1536452  -0.1343179  -0.04220739]			7
[ 0.1        -0.19899411 -0.1567492  -0.1324872  -0.03774209]			31
[ 0.09       -0.20418911 -0.1241162  -0.1633822  -0.02789309]			13
[ 0.1        -0.23561211 -0.2544812  -0.0066092  -0.03450959]			2
[ 0.09       -0.25286911 -0.2097842  -0.0888282  -0.01643659]			1
[ 0.1        -0.32329011 -0.1177842  -0.0862349  -0.06326859]			30
[ 0.11       -0.30649111 -0.0757162  -0.1316329  -0.08719959]			53
[ 0.12       -0.29297311 -0.0651212  -0.1550699  -0.08319979]			15
[ 0.13       -0.32803311 -0.1907882  -0.0034639  -0.09072139]			24
[ 0.14       -0.31070211 -0.1512442  -0.0508759  -0.11573839]			18
[ 0.13       -0.32891811 -0.0864962  -0.1313899  -0.11155289]			17
[ 0.12       -0.32104911 -0.1821592  -0.0935229  -0.03651889]			5
[ 0.13       -0.30597211 -0.1625632  -0.1241069  -0.03774319]			18
[ 0.14       -0.29585511 -0.1535412  -0.1476129  -0.03347179]			104
[ 0.15       -0.27193811 -0.1079762  -0.1975009  -0.06245879]			21
[ 0.16       -0.30799111 -0.1677162  -0.0965849  -0.07074339]			27
[ 0.15       -0.30638031 -0.1030922  -0.1801579  -0.05552739]			27
[ 0.16       -0.34334131 -0.2398712  -0.0043629  -0.08170839]			12
[ 0.17       -0.33439011 -0.1921332  -0.0527939  -0.13761739]			1
[ 0.16       -0.33958481 -0.1595002  -0.0836889  -0.12776819]			113
[ 0.15       -0.34287681 -0.1149482  -0.1294069  -0.11788019]			1
[ 0.16       -0.32256681 -0.0964282  -0.1595279  -0.11785016]			10
[ 0.15       -0.31893891 -0.1793232  -0.1403149  -0.08451816]			28
[ 0.16       -0.29876191 -0.1613412  -0.1698959  -0.08241916]			48
[ 0.17       -0.28656391 -0.1403592  -0.2018499  -0.08113486]			7
[ 0.16       -0.27869491 -0.2360222  -0.1639829  -0.00610086]			29
[ 0.17       -0.34205891 -0.1431742  -0.16384015 -0.07394486]			24
[ 0.16       -0.31557991 -0.2445482  -0.15053015 -0.01923786]			28
[ 0.17       -0.30107891 -0.2084812  -0.19108715 -0.03520386]			27
[ 0.18       -0.27913591 -0.1629782  -0.24084715 -0.06245786]			2
[ 0.19       -0.31935391 -0.2460182  -0.11529715 -0.07755686]			23
[ 0.2        -0.31334891 -0.2266912  -0.14818515 -0.08079836]			11
[ 0.21       -0.30279691 -0.2148342  -0.17459615 -0.07969506]			11
[ 0.22       -0.28790091 -0.1805462  -0.21490515 -0.09395406]			78
[ 0.21       -0.29119331 -0.1359942  -0.26062315 -0.08406606]			6
[ 0.22       -0.30829731 -0.1837742  -0.19851415 -0.08009206]			38
[ 0.21       -0.31349231 -0.1511412  -0.22940915 -0.07024306]			13
[ 0.22       -0.34491531 -0.2815062  -0.07263615 -0.07685956]			2
[ 0.21       -0.36217231 -0.2368092  -0.15485515 -0.05878656]			6
[ 0.2        -0.37146931 -0.1988382  -0.20128415 -0.05582956]			25
[ 0.21       -0.35467031 -0.1567702  -0.24668215 -0.07976056]			20
[ 0.22       -0.38697531 -0.2289052  -0.13024915 -0.08922186]			23
[ 0.21       -0.38052811 -0.1828432  -0.21371915 -0.06212286]			10
[ 0.22       -0.36701011 -0.1722482  -0.23715615 -0.05812306]			74
[ 0.21       -0.35914111 -0.2679112  -0.19928915  0.01691094]			5
[ 0.22       -0.34406411 -0.2483152  -0.22987315  0.01568664]			58
[ 0.23       -0.33724611 -0.1998112  -0.28200615 -0.04535636]			26
[ 0.24       -0.36261911 -0.2694012  -0.19395215 -0.03006736]			38
[ 0.25       -0.33870211 -0.2238362  -0.24384015 -0.05905436]			53
[ 0.24       -0.34389711 -0.1912032  -0.27473515 -0.04920536]			22
[ 0.25       -0.38085811 -0.3279822  -0.09894015 -0.07538636]			12
[ 0.26       -0.37190691 -0.2802442  -0.14737115 -0.13129536]			1
[ 0.25       -0.37710161 -0.2476112  -0.17826615 -0.12144616]			113
[ 0.24       -0.38039361 -0.2030592  -0.22398415 -0.11155816]			1
[ 0.25       -0.36008361 -0.1845392  -0.25410515 -0.11152813]			38
[ 0.26       -0.33990661 -0.1665572  -0.28368615 -0.10942913]			49
[ 0.27       -0.34711341 -0.2341402  -0.22527815 -0.10319223]			114
[ 0.28       -0.32517041 -0.1886372  -0.27503815 -0.13044623]			2
[ 0.29       -0.36538841 -0.2716772  -0.14948815 -0.14554523]			34
[ 0.3        -0.35483641 -0.2598202  -0.17589915 -0.14444193]			11
[ 0.31       -0.33994041 -0.2255322  -0.21620815 -0.15870093]			63
[ 0.3        -0.31346141 -0.3269062  -0.20289815 -0.10399393]			15
[ 0.29       -0.31675381 -0.2823542  -0.24861615 -0.09410593]			44
[ 0.28       -0.32194881 -0.2497212  -0.27951115 -0.08425693]			49
[ 0.27       -0.32714381 -0.2170882  -0.31040615 -0.07440793]			17
[ 0.28       -0.35944881 -0.2892232  -0.19397315 -0.08386923]			23
[ 0.27       -0.35300161 -0.2431612  -0.27744315 -0.05677023]			211
[ 0.28       -0.32908461 -0.1975962  -0.32733115 -0.08575723]			11
[ 0.29       -0.36665761 -0.2805122  -0.22429915 -0.08195133]			37
[ 0.28       -0.36504681 -0.2158882  -0.30787215 -0.06673533]			27
[ 0.29       -0.40200781 -0.3526672  -0.13207715 -0.09291633]			12
[ 0.3        -0.39305661 -0.3049292  -0.18050815 -0.14882533]			1
[ 0.29       -0.39825131 -0.2722962  -0.21140315 -0.13897613]			113
[ 0.28       -0.40154331 -0.2277442  -0.25712115 -0.12908813]			1
[ 0.29       -0.38123331 -0.2092242  -0.28724215 -0.1290581 ]			38
[ 0.3        -0.36105631 -0.1912422  -0.31682315 -0.1269591 ]			49
[ 0.31       -0.36826311 -0.2588252  -0.25841515 -0.1207222 ]			6
[ 0.3        -0.36039411 -0.3544882  -0.22054815 -0.0456882 ]			29
[ 0.31       -0.42375811 -0.2616402  -0.2204054  -0.1135322 ]			52
[ 0.32       -0.40925711 -0.2255732  -0.2609624  -0.1294982 ]			3
[ 0.31       -0.38277811 -0.3269472  -0.2476524  -0.0747912 ]			24
[ 0.32       -0.36083511 -0.2814442  -0.2974124  -0.1020452 ]			125
[ 0.31       -0.36412751 -0.2368922  -0.3431304  -0.0921572 ]			6
